Arbitrary	ClassID	ClassName	GroupName	ItemID	ItemName
1	1	SHOP_ETC_LEONARDO_1	ETC_LEONARDO	21006	WarpScroll
1	2	SHOP_ETC_LEONARDO_2	ETC_LEONARDO	20022	TeleportScrollreb
1	3	SHOP_ETC_LEONARDO_3	ETC_LEONARDO	20023	TeleportScrollcoim
1	4	SHOP_ETC_LEONARDO_4	ETC_LEONARDO	20024	TeleportScrollauch
1	5	SHOP_ETC_LEONARDO_5	ETC_LEONARDO	23234	ScanCommand
1	6	SHOP_ETC_LEONARDO_6	ETC_LEONARDO	21165	TorscheGear
1	7	SHOP_ETC_LEONARDO_7	ETC_LEONARDO	21166	TorscheSpring
1	8	SHOP_ETC_LEONARDO_8	ETC_LEONARDO	21167	TorscheClock
1	9	SHOP_ETC_LEONARDO_9	ETC_LEONARDO	21168	TorscheTube
1	10	SHOP_ETC_LEONARDO_10	ETC_LEONARDO	21602	CastIron
1	11	SHOP_ETC_LEONARDO_11	ETC_LEONARDO	21601	CompositeSteel
1	12	SHOP_ETC_LEONARDO_12	ETC_LEONARDO	21603	Juniper
1	13	SHOP_ETC_LEONARDO_13	ETC_LEONARDO	181196	Recipe_Crystal_Frontierchroma
1	61001	SHOP_ENCHANTCHIP_SHOP_61001	ENCHANTCHIP_SHOP	21907	CouponLv_1
32	61002	SHOP_ENCHANTCHIP_SHOP_61002	ENCHANTCHIP_SHOP	21908	CouponLv_8
36	61003	SHOP_ENCHANTCHIP_SHOP_61003	ENCHANTCHIP_SHOP	21909	CouponLv_9
40	61004	SHOP_ENCHANTCHIP_SHOP_61004	ENCHANTCHIP_SHOP	21910	CouponLv_10
44	61005	SHOP_ENCHANTCHIP_SHOP_61005	ENCHANTCHIP_SHOP	21911	CouponLv_11
48	61006	SHOP_ENCHANTCHIP_SHOP_61006	ENCHANTCHIP_SHOP	21912	CouponLv_12
52	61007	SHOP_ENCHANTCHIP_SHOP_61007	ENCHANTCHIP_SHOP	21913	CouponLv_13
56	61008	SHOP_ENCHANTCHIP_SHOP_61008	ENCHANTCHIP_SHOP	21914	CouponLv_14
60	61009	SHOP_ENCHANTCHIP_SHOP_61009	ENCHANTCHIP_SHOP	21915	CouponLv_15
64	61010	SHOP_ENCHANTCHIP_SHOP_61010	ENCHANTCHIP_SHOP	21916	CouponLv_16
68	61011	SHOP_ENCHANTCHIP_SHOP_61011	ENCHANTCHIP_SHOP	21917	CouponLv_17
72	61012	SHOP_ENCHANTCHIP_SHOP_61012	ENCHANTCHIP_SHOP	21918	CouponLv_18
76	61013	SHOP_ENCHANTCHIP_SHOP_61013	ENCHANTCHIP_SHOP	21919	CouponLv_19
80	61014	SHOP_ENCHANTCHIP_SHOP_61014	ENCHANTCHIP_SHOP	21920	CouponLv_20
84	61015	SHOP_ENCHANTCHIP_SHOP_61015	ENCHANTCHIP_SHOP	21921	CouponLv_21
88	61016	SHOP_ENCHANTCHIP_SHOP_61016	ENCHANTCHIP_SHOP	21922	CouponLv_22
92	61017	SHOP_ENCHANTCHIP_SHOP_61017	ENCHANTCHIP_SHOP	21923	CouponLv_23
96	61018	SHOP_ENCHANTCHIP_SHOP_61018	ENCHANTCHIP_SHOP	21924	CouponLv_24
100	61019	SHOP_ENCHANTCHIP_SHOP_61019	ENCHANTCHIP_SHOP	700006	CouponLv_25_Ev
1	59200	SHOP_FESO_ITEMSHOP_FESO_59200	FESO_ITEMSHOP_FESO	75317	SunStone
1	59201	SHOP_FESO_ITEMSHOP_FESO_59201	FESO_ITEMSHOP_FESO	75318	MoonStone
1	59202	SHOP_FESO_ITEMSHOP_FESO_59202	FESO_ITEMSHOP_FESO	75330	GrowthStone
1	59301	SHOP_FESO_ITEMSHOP_MATERIAL_59301	FESO_ITEMSHOP_MATERIAL	21192	SkelViscountRing
1	59302	SHOP_FESO_ITEMSHOP_MATERIAL_59302	FESO_ITEMSHOP_MATERIAL	21320	ShotOfMarksman
1	59303	SHOP_FESO_ITEMSHOP_MATERIAL_59303	FESO_ITEMSHOP_MATERIAL	89105	MagicRose
1	59304	SHOP_FESO_ITEMSHOP_MATERIAL_59304	FESO_ITEMSHOP_MATERIAL	21170	TorscheOtiteChip
1	59305	SHOP_FESO_ITEMSHOP_MATERIAL_59305	FESO_ITEMSHOP_MATERIAL	189203	PureEssence
1	59306	SHOP_FESO_ITEMSHOP_MATERIAL_59306	FESO_ITEMSHOP_MATERIAL	189205	PureEssence
1	59307	SHOP_FESO_ITEMSHOP_MATERIAL_59307	FESO_ITEMSHOP_MATERIAL	189204	FallenEssence
1	59308	SHOP_FESO_ITEMSHOP_MATERIAL_59308	FESO_ITEMSHOP_MATERIAL	21899	PureOtite
1	59309	SHOP_FESO_ITEMSHOP_MATERIAL_59309	FESO_ITEMSHOP_MATERIAL	21900	PowderedJewel
1	59310	SHOP_FESO_ITEMSHOP_MATERIAL_59310	FESO_ITEMSHOP_MATERIAL	21893	PoisonYardSymbol
1	59311	SHOP_FESO_ITEMSHOP_MATERIAL_59311	FESO_ITEMSHOP_MATERIAL	88253	LiquidofHeaven
1	59312	SHOP_FESO_ITEMSHOP_MATERIAL_59312	FESO_ITEMSHOP_MATERIAL	21058	CraftedChain
1	59313	SHOP_FESO_ITEMSHOP_MATERIAL_59313	FESO_ITEMSHOP_MATERIAL	21053	CraftedBurkle
1	59314	SHOP_FESO_ITEMSHOP_MATERIAL_59314	FESO_ITEMSHOP_MATERIAL	21062	WristGuard
1	59315	SHOP_FESO_ITEMSHOP_MATERIAL_59315	FESO_ITEMSHOP_MATERIAL	21065	AnkleGuard
1	59401	SHOP_FESO_ITEMSHOPTEST_59401	FESO_ITEMSHOP_POT	20964	WhiteHouse_2
1	59402	SHOP_FESO_ITEMSHOPTEST_59402	FESO_ITEMSHOP_POT	23441	Meele_Potion
1	59403	SHOP_FESO_ITEMSHOPTEST_59403	FESO_ITEMSHOP_POT	23442	Shooting_Potion
1	59404	SHOP_FESO_ITEMSHOPTEST_59404	FESO_ITEMSHOP_POT	23443	Magic_Potion
1	59405	SHOP_FESO_ITEMSHOPTEST_59405	FESO_ITEMSHOP_POT	20586	Ssteroid_Liquor
1	59406	SHOP_FESO_ITEMSHOPTEST_59406	FESO_ITEMSHOP_POT	23163	Extended_TL
1	59407	SHOP_FESO_ITEMSHOPTEST_59407	FESO_ITEMSHOP_POT	23269	Potion_HPUP10000
1	59408	SHOP_FESO_ITEMSHOPTEST_59408	FESO_ITEMSHOP_POT	23222	Potion_SPUP500
1	59409	SHOP_FESO_ITEMSHOPTEST_59409	FESO_ITEMSHOP_POT	20086	StatusAmpul_Total
1	59410	SHOP_FESO_ITEMSHOPTEST_59410	FESO_ITEMSHOP_POT	160051	bePotion_Total
1	59411	SHOP_FESO_ITEMSHOPTEST_59411	FESO_ITEMSHOP_POT	160108	Finest_Steroid_Po
1	59412	SHOP_FESO_ITEMSHOPTEST_59412	FESO_ITEMSHOP_POT	120886	Absorbpotion
1	59413	SHOP_FESO_ITEMSHOPTEST_59413	FESO_ITEMSHOP_POT	160152	Xmas2015Food
1	59414	SHOP_FESO_ITEMSHOPTEST_59414	FESO_ITEMSHOP_POT	181131	Recipe_UltimatePot10
1	59415	SHOP_FESO_ITEMSHOPTEST_59415	FESO_ITEMSHOP_POT	181132	Recipe_UltimatePot100
1	59416	SHOP_FESO_ITEMSHOPTEST_59416	FESO_ITEMSHOP_POT	20084	SoulCrystal
1	59417	SHOP_FESO_ITEMSHOPTEST_59417	FESO_ITEMSHOP_POT	23409	Potable_G_SpiderStk
1	59418	SHOP_FESO_ITEMSHOPTEST_59418	FESO_ITEMSHOP_POT	23410	Potable_G_BoarSteak
1	59419	SHOP_FESO_ITEMSHOPTEST_59419	FESO_ITEMSHOP_POT	23411	Potable_G_WolfSteak
1	59420	SHOP_FESO_ITEMSHOPTEST_59420	FESO_ITEMSHOP_POT	23412	Potable_G_ComodoStk
1	59421	SHOP_FESO_ITEMSHOPTEST_59421	FESO_ITEMSHOP_POT	23413	Potable_G_MeatStew
1	59422	SHOP_FESO_ITEMSHOPTEST_59422	FESO_ITEMSHOP_POT	23414	Potable_G_friedOcto
1	59423	SHOP_FESO_ITEMSHOPTEST_59423	FESO_ITEMSHOP_POT	23415	Potable_G_FSausage
1	59424	SHOP_FESO_ITEMSHOPTEST_59424	FESO_ITEMSHOP_POT	23416	Potable_G_friedCorn
1	59425	SHOP_FESO_ITEMSHOPTEST_59425	FESO_ITEMSHOP_POT	23417	Potable_G_GApple
1	59426	SHOP_FESO_ITEMSHOPTEST_59426	FESO_ITEMSHOP_POT	23418	Potable_G_EggStew
1	59427	SHOP_FESO_ITEMSHOPTEST_59427	FESO_ITEMSHOP_POT	23419	Potable_G_Salad
1	59428	SHOP_FESO_ITEMSHOPTEST_59428	FESO_ITEMSHOP_POT	23420	Potable_G_CapyFish
1	59429	SHOP_FESO_ITEMSHOPTEST_59429	FESO_ITEMSHOP_POT	23421	Potable_G_Caborum
