ClassID	ParticleName	Reinf_BST	Reinf_ILE	Reinf_Special
0	None	None	None	None
1	None	None	None	None
2	None	None	None	None
3	None	None	None	None
4	None	None	None	None
5	None	None	None	None
6	None	None	None	None
7	None	None	None	None
8	None	None	None	None
9	None	None	None	None
10	None	None	None	None
11	ReinforceEffect_5	ReinforceEffect_B_5	ReinforceEffect_C_7	ReinforceEffect_5
12	ReinforceEffect_6	ReinforceEffect_B_1	ReinforceEffect_C_8	ReinforceEffect_6
13	ReinforceEffect_7	ReinforceEffect_B_8	ReinforceEffect_C_9	ReinforceEffect_11
14	ReinforceEffect_8	ReinforceEffect_B_7	ReinforceEffect_C_9	ReinforceEffect_12
15	ReinforceEffect_9	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
16	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
17	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
18	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
19	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
20	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
21	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
22	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
23	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
24	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
25	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
26	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
27	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
28	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
29	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
30	ReinforceEffect_10	ReinforceEffect_B_3	ReinforceEffect_C_9	ReinforceEffect_13
