AR	ASPD	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	ExtentionSocketGroup	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HumanBane	IMP	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	InfoView	IsConfirmUseItem	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MKP	MSP	MSPD	MaterialSet	MaxExtentionSocket	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21046	RecallFrScroll	Etc	NO	0	FALSE	1	0	None	0	<$>34993</>	0	0	0	0	None	Etc	None	drop_etcitem.wav	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Summon Friend Scroll	None	None	None	1000	0	FALSE	it_e_scrollmap	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>34992</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21046	1	None	10	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21047	ElaboratedBossKey_UST	Etc	NO	0	FALSE	1	0	None	0	<$>34995</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Elaborated Key of Sea cave of revenent	None	None	None	5000	0	FALSE	it_e_alqkey01	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>34994</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	500	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21047	1	None	125	0	None	<$>34028</>	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21054	Burkle	Etc	NO	0	FALSE	1	0	None	0	<$>35009</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Burkle	None	None	None	300000	0	FALSE	it_e_burkle	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>35008</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	1000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21054	1	None	250	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21057	Chain	Etc	NO	0	FALSE	1	0	None	0	<$>35015</>	0	45	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Chain	None	None	None	300000	0	FALSE	it_e_chain	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>35014</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	1000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21057	1	None	250	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21061	ToughLeather2	Etc	NO	0	FALSE	1	0	None	0	<$>35023</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Tough Leather	None	None	None	300000	0	FALSE	it_e_leatherpatch	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>35022</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	1000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21061	1	None	250	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Ore	<$>34922</>	21106	SilverPiece	Ore	NO	0	FALSE	1	0	None	0	<$>35082</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	48	Silver Piece	None	None	None	100000	0	FALSE	it_e_silverpiece	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>34922</>	SYS_item_column_blue	12	<$>35081</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	378	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21106	2	None	116	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	48	TRUE	12	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Food	<$>32567</>	21125	Cabosse	Etc	NO	0	FALSE	1	0	None	0	<$>35116</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Cabosse	None	None	None	5000	0	FALSE	it_e_cabosse	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>32567</>	SYS_item_column_blue	0	<$>27469</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21125	1.5	None	11	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Food	<$>32567</>	21252	GoldenApple	Etc	NO	0	FALSE	1	0	None	0	<$>35289</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Gold apple	None	None	None	50000	0	FALSE	it_e_goldapple	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>32567</>	SYS_item_column_blue	0	<$>27501</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21252	1	None	0	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21168	TorscheTube	Etc	NO	0	FALSE	1	0	None	0	<$>35181</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Neverseen Tube	None	None	None	2147483647	0	FALSE	it_e_torschetube	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>27528</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	1000000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21168	1	None	17	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>27429</>	Etc_Etc	<$>173559</>	21170	TorscheOtiteChip	Etc	NO	0	FALSE	1	0	None	0	<$>131749</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	a Chip of Otite	None	None	None	1000	0	FALSE	it_e_otitechip	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	TRUE	None	<$>27429</>	SYS_item_column_blue	0	<$>35183</>	None	0	500	0	0	No	0	0	0	1	None	0	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	54	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>131750</>	1	21170	1	None	17	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
