AiRange	AutoCheck	AutoDuel	BgName	BgmPlayList	ChangeChannel	Channel	ChaseLimit	ClassID	ClassName	CliqueWar	ColBan	ColGenX	ColGenY	ColGenZ	ColonyEXP	ColonyX	ColonyY	ColonyZ	Continent	DefGenPosX	DefGenPosY	DefGenPosZ	Desc	DropItem1Freq	DropItem1ID	DropItem2Freq	DropItem2ID	DropItem3Freq	DropItem3ID	DropItem4Freq	DropItem4ID	DropItem5Freq	DropItem5ID	DropItem6Freq	DropItem6ID	DropItem7Freq	DropItem7ID	EnablePK	EngName	FlagCount	GetRestart	HeldWepn	HideEnemyPhrase	Info	IsAutoMission	ItemGroup	ItemPriorityTime	ItemViewDist	LeaveTime	LoadingImg	LockWarp	LockWarpCommLV	LockWarpSaveId	MapTitleFont1	MapTitleFont2	MinimapFile	MinimapLength	MinimapOffsetX	MinimapOffsetY	Mission	MonCache	MonViewDist	MonsterDropBlock	MovableZone	Name	NewPVPRule	NoMIC	Note	PartyBuff	PartyWar	PcCache	PcViewDist	QuestWarp	RecallRequestAble	RecallTakeAble	RewardEXPBM	RewardItemBM	SaveWarp	Thumbnail	TokName	TriggerViewDist	Tutorial	Type	UseAIAnyWhere	UseGlobalDrop	UseInitScp	UseItemCoolDown	UseReturnScroll	UseTeleportScroll	UserShop	ViewMiddleRange	ViewRange	WarGroup	WayPointX	WayPointY	WayPointZ	WorldMapName	ZoneItem	ZoneScript	vsMon	vsPC
2500	FALSE	FALSE	gm_event_zone	Reception_Hall	FALSE	3	5	17	event_zone	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	1.52	668.923	47.815	<$>47320</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Event Zone	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	17490.443	-2.834	673.273	FALSE	TRUE	3200	FALSE	None	<$>47320</>	0	0	<$>47320</>	FALSE	FALSE	TRUE	3000	FALSE	FALSE	FALSE	1	0.2	FALSE	thumb_gm_event_zone.jpg	gm_event_zone	6000	FALSE	TRUCEWORLD	NO	0	0	1	FALSE	FALSE	FALSE	4000	6000	0	1.52	668.923	47.815	None	None	None	TRUE	FALSE
2500	FALSE	FALSE	arm_basic	arm_basic	TRUE	3	5	50	arm_basic	FALSE	0	0	0	0	1	0	0	0	Orpesia	-26	-11185	1	<$>106355</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Cite de Armonia	0	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	arm_basic.jpg	39275	0	0	FALSE	TRUE	4000	FALSE	fld_arm,arm_cathedral,arm_dunbasic	<$>106355</>	0	0	<$>106355</>	TRUE	FALSE	TRUE	4000	TRUE	TRUE	TRUE	1	1	TRUE	thumb_arm_basic.jpg	arm_basic	6000	FALSE	CITY	NO	0	0	1	TRUE	TRUE	TRUE	4000	6000	0	-26	-11185	1	arm_basic_btn	None	None	FALSE	FALSE
2500	FALSE	FALSE	arm_cathedral	arm_cathedral	TRUE	3	5	52	arm_cathedral	FALSE	0	0	0	0	1	0	0	0	Orpesia	34	1912	-16	<$>114033</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Armonia, Cathedral	0	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	arm_cathedral.jpg	36930.398	0	-2250	FALSE	TRUE	4000	FALSE	arm_basic	<$>114033</>	0	0	<$>114032</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	FALSE	1	1	TRUE	thumb_arm_cathedral.jpg	arm_cathedral	6000	FALSE	CITY	NO	0	0	1	FALSE	FALSE	TRUE	4000	6000	0	34	1912	-16	arm_basic_btn	None	None	FALSE	FALSE
2500	FALSE	FALSE	fld_arm	fld_arm	TRUE	3	5	53	fld_arm	FALSE	0	0	0	0	1	0	0	0	Orpesia	1840	346	10	<$>114034</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Armonia, Anillo	0	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	fld_arm.jpg	15529.521	-2358.939	637.2	FALSE	TRUE	4000	FALSE	bst_lab,btl_arm01,arm_basic	<$>114034</>	0	0	<$>114034</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	FALSE	1	1	TRUE	thumb_fld_arm.jpg	fld_arm	6000	FALSE	CITY	NO	0	0	1	FALSE	FALSE	TRUE	4000	6000	0	34	1912	-16	arm_basic_btn	None	None	FALSE	FALSE
2500	FALSE	FALSE	btl_arm01	btl_arm	TRUE	3	5	54	btl_arm01	FALSE	0	0	0	0	1	0	0	0	Orpesia	-23119	-3537	2172	<$>114035</>	150	75318	180	21803	2500	24109	1600	89076	100000	160154	2000	157091	250000	160261	TRUE	Aromia, Latina	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	btl_arm01.jpg	60645	-600	100	FALSE	TRUE	4000	FALSE	fld_arm	<$>114035</>	0	0	<$>114035</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1	TRUE	thumb_btl_arm01.jpg	btl_arm01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	-23119	-3537	2172	arm_basic_btn	None	None	TRUE	TRUE
2500	FALSE	FALSE	dun_arm01	dun_arm	TRUE	3	5	55	dun_arm01	FALSE	0	0	0	0	1	0	0	0	Orpesia	-8701	-9888	29	<$>114036</>	90	21803	600	24109	12000	157116	550	157091	13000	189327	30000	160155	250000	160261	TRUE	Armonia, Encerrar	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_arm01.jpg	57546	0	-9709.399	FALSE	TRUE	4000	FALSE	arm_dunbasic,dun_arm02	<$>114036</>	0	0	<$>114036</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1	TRUE	thumb_dun_arm01.jpg	dun_arm01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	-8716	-9826	50	arm_basic_btn	None	None	TRUE	TRUE
2500	TRUE	FALSE	dun_arm01	dun_arm	TRUE	3	5	57	dun_arm01_cash	FALSE	0	0	0	0	1	0	0	0	Orpesia	-8701	-9888	29	<$>118102</>	3500	24109	100	21212	50000	88064	1000	21098	1650	89076	45000	157077	250000	160261	FALSE	Armonia, Ancient Encerrar	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_arm01.jpg	57546	0	-9709.399	FALSE	TRUE	4000	FALSE	None	<$>118102</>	0	0	<$>118102</>	TRUE	FALSE	TRUE	4000	FALSE	FALSE	TRUE	1	1	FALSE	thumb_dun_arm01.jpg	dun_arm01	6000	FALSE	TRUCEWORLD	NO	0	0	1	TRUE	TRUE	FALSE	4000	6000	0	-8716	-9826	50	arm_basic_btn	None	None	TRUE	FALSE
2500	FALSE	FALSE	dun_arm02	dun_arm	TRUE	3	5	58	dun_arm02	FALSE	0	0	0	0	1	0	0	0	Orpesia	0	17480	100	<$>125265</>	90	21803	600	24109	12000	157116	550	157091	13000	189327	30000	160155	250000	160261	TRUE	Armonia, El Templo del Caos	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_arm02.jpg	43260	0	1526.08	FALSE	TRUE	4000	FALSE	dun_arm01,dun_arm03,dun_arm04	<$>125265</>	0	0	<$>125265</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1.3	TRUE	thumb_dun_arm02.jpg	dun_arm02	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	0	0	0	arm_basic_btn	None	None	TRUE	TRUE
2500	FALSE	FALSE	dun_arm03	dun_arm	TRUE	3	5	59	dun_arm03	FALSE	0	0	0	0	1	0	0	0	Orpesia	11	-9449	2005	<$>125265</>	60	21803	400	24109	18000	157116	22500	160157	12000	189328	15000	88074	250000	160261	TRUE	Armonia, Gloria	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_arm03.jpg	32700	0	1856.727	FALSE	TRUE	4000	FALSE	dun_arm02	<$>129026</>	0	0	<$>129026</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1.3	TRUE	thumb_dun_arm03.jpg	dun_arm03	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	0	0	0	arm_basic_btn	None	None	TRUE	TRUE
2500	FALSE	FALSE	dun_arm04	dun_arm	TRUE	3	5	60	dun_arm04	FALSE	0	0	0	0	1	0	0	0	Orpesia	12	-21561	1995	<$>132032</>	60	21803	500	157091	22500	160157	600	24110	12000	189328	15000	88074	250000	160261	TRUE	Armonia, Viego	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_arm04.jpg	35793	0	-8914.575	FALSE	TRUE	4000	FALSE	dun_arm02	<$>132032</>	0	0	<$>132032</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1.3	TRUE	thumb_dun_arm04.jpg	dun_arm04	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	0	0	0	arm_basic_btn	None	None	TRUE	TRUE
3000	FALSE	FALSE	dun_caslucifer04	dun_casLucifer2	FALSE	0	10	71	dun_caslucifer04	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	76	-52	58	<$>151356</>	86	190108	7000	190107	320	24113	1500000	171053	140	24109	160	157091	250000	160261	TRUE	Lucifer, Forgetting Interview Hall	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	20	0	white_38_ol	white_22_ol	dun_caslucifer04.jpg	36380	0	-9517.773	FALSE	TRUE	3200	FALSE	dun_caslucifer01	<$>151356</>	0	0	<$>151356</>	TRUE	FALSE	TRUE	3000	FALSE	FALSE	TRUE	1	1	FALSE	None	dun_caslucifer04	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	76	-52	58	None	None	None	TRUE	TRUE
2500	TRUE	FALSE	btl_bedel01	btl_bedel01	TRUE	3	5	79	btl_bedel01	FALSE	0	0	0	0	1	0	0	0	Orpesia	14054	9790	143	<$>171711</>	17000	160158	1500	24113	1000	157091	125	75318	800	21803	0	0	150000	160261	TRUE	Bedel Field	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	20	0	white_38_ol	white_22_ol	btl_bedel01.jpg	78750	-2268.958	-1474.713	FALSE	TRUE	3200	FALSE	btl_arm01,bedel_basic	<$>171711</>	0	0	<$>171711</>	TRUE	FALSE	TRUE	3000	TRUE	FALSE	TRUE	1	1	TRUE	thumb_btl_bedel01.jpg	btl_bedel01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	15124	9965	285	btl_bdel01_btn	None	None	TRUE	TRUE
2500	TRUE	FALSE	dun_ile01	btl_bedel01	TRUE	3	5	81	dun_ile01	FALSE	0	0	0	0	1	0	0	0	Orpesia	-26	17137	127	<$>175930</>	3000	24113	1200	157091	10000	88321	30000	160159	100000	89130	100000	89131	100000	160261	TRUE	Rose Duke, Hall	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	20	0	white_38_ol	white_22_ol	dun_ile01.jpg	56300.953	2915.611	-256.158	FALSE	TRUE	3200	FALSE	fld_ile01	<$>175930</>	0	0	<$>175930</>	TRUE	FALSE	TRUE	3000	TRUE	FALSE	TRUE	1	1	FALSE	thumb_dun_ile01.jpg	dun_ile01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	FALSE	TRUE	4000	6000	0	-26	17137	127	fld_ile01_btn	None	None	TRUE	TRUE
2500	TRUE	FALSE	dun_ile02	btl_bedel01	FALSE	1	5	82	dun_ile02	FALSE	0	0	0	0	1	0	0	0	Orpesia	28	-1589	80	<$>179648</>	3000	24113	1200	157091	68000	190107	30000	160159	100000	89130	100000	89131	80000	160261	TRUE	Rose Duke, Sky Garden	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	20	0	white_38_ol	white_22_ol	dun_ile02.jpg	35250	-733.132	6316.645	FALSE	TRUE	3200	FALSE	dun_ile01	<$>179648</>	0	0	<$>179648</>	TRUE	FALSE	TRUE	3000	TRUE	FALSE	TRUE	1	1	FALSE	None	dun_ile02	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	FALSE	TRUE	4000	6000	0	28	-1589	80	fld_ile01_btn	None	None	TRUE	TRUE
2500	TRUE	FALSE	dun_casile01	dun_casile01	FALSE	1	5	92	dun_casile01_raid	FALSE	0	0	0	0	1	0	0	0	Orpesia	-11202	323	-1716	<$>203290</>	35000	160286	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Imperium Arma	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_casile01.jpg	58900	-1400	13700	FALSE	TRUE	4000	FALSE	None	<$>203290</>	0	0	<$>203289</>	TRUE	FALSE	TRUE	4000	FALSE	FALSE	TRUE	1	1	FALSE	thumb_dun_casile01.jpg	dun_casile01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	0	0	0	ile_basic_btn	None	CHECK_CASHBUFF_CASILE	TRUE	TRUE
2500	TRUE	FALSE	dun_casile01	dun_casile01	TRUE	1	5	93	dun_casile01_normal	FALSE	0	0	0	0	1	0	0	0	Orpesia	-11202	323	-1716	<$>203291</>	25000	192093	30000	192094	25000	192095	4500	192096	0	0	0	0	0	0	TRUE	Imperium Arma	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_casile01.jpg	58900	-1400	13700	FALSE	TRUE	4000	FALSE	ile_basic	<$>203291</>	0	0	<$>203291</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1	TRUE	thumb_dun_casile01.jpg	dun_casile01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	0	0	0	ile_basic_btn	None	None	TRUE	TRUE
2500	TRUE	FALSE	dun_casile01	dun_casile01	TRUE	1	5	94	dun_casile01_hard	FALSE	0	0	0	0	1	0	0	0	Orpesia	-11202	323	-1716	<$>203293</>	12500	192093	15000	192094	12500	192095	2500	192096	0	0	0	0	0	0	TRUE	Imperium Arma	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_casile01.jpg	58900	-1400	13700	FALSE	TRUE	4000	FALSE	ile_basic	<$>203293</>	0	0	<$>203292</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1	TRUE	thumb_dun_casile01.jpg	dun_casile01	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	0	0	0	ile_basic_btn	None	None	TRUE	TRUE
2500	TRUE	FALSE	dun_casile02	dun_casile01	FALSE	1	5	96	dun_casile02_normal	FALSE	0	0	0	0	1	0	0	0	Orpesia	-3203	-1009	-404	<$>203813</>	10000	89209	10000	89210	7000	157282	180000	157277	0	0	0	0	0	0	TRUE	Imperium Lex	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	dun_casile02.jpg	45242.656	0	14507.137	FALSE	TRUE	4000	FALSE	ile_basic,dun_casile01_normal	<$>203813</>	0	0	<$>203813</>	TRUE	FALSE	TRUE	4000	TRUE	FALSE	TRUE	1	1	TRUE	thumb_dun_casile02.jpg	dun_casile02	6000	FALSE	PARTYWAR	NO	0	0	1	FALSE	TRUE	TRUE	4000	6000	0	-3203	-1009	-404	ile_basic_btn	None	None	TRUE	TRUE
