ClassID	Desc	Image	ItemID	MonsterID
1	 	PetGrabber.bmp	21373	200
2	 	PetBuppet.bmp	21376	100
3	 	PetPigling.bmp	21421	301
4	 	PetPanPan.bmp	21422	400
5	 	PetRudolph.bmp	21423	700
6	 	PetNyato.bmp	21424	500
7	 	PetNyato.bmp	21425	800
8	 	PetChick.bmp	21426	900
9	 	PetSantagraber.bmp	21445	1000
10	 	PetTiger_Y.bmp	21447	1100
11	 	PetTiger_B.bmp	21448	1200
12	 	PetTiger_W.bmp	21449	1300
13	 	PetTiger_R.bmp	21455	1400
14	 	PetSavertiger.bmp	189022	5200
15	 	PetTcapyleader.bmp	189015	1600
16	 	PetCockatries.bmp	189016	1700
17	 	PetAcorchado.bmp	21466	2500
18	 	icewolf.bmp	21467	2600
19	 	PetSnowGolem.bmp	24115	3100
20	 	PetSavertiger.bmp	24116	5200
21	 	PetPhobitan.bmp	189021	2200
22	 	PetJormongand.bmp	189138	2400
23	 	PetReydeavaricia.bmp	189014	1500
24	 	PetPigling.bmp	189206	300
25	 	Gigantosnail.bmp	24117	3000
30	 	PetSavertiger.bmp	189212	2301
35	 	blacksabertiger.bmp	189285	2700
37	 	Gigantosnail.bmp	24102	3000
40	 	monster_catblack.bmp	189301	2800
41	 	PetSnowGolem.bmp	24103	3100
42	 	PetSantagraber.bmp	24104	1000
43	 	Taurus.bmp	24101	2900
44	 	PetBlueHorse.bmp	189282	3300
45	 	PetRedHorse.bmp	189283	3400
46	 	PetDiablo.bmp	189346	3500
47	 	PetRedBall.bmp	24111	3600
48	 	PetRhinoceur.bmp	157119	3700
49	 	PetRabbit.bmp	24112	3800
50	 	PetChito.bmp	189352	3900
51	 	PetRabbit.bmp	189406	4000
52	 	PetJackolantern.bmp	189407	4100
53	 	PetWatermelon.bmp	189408	4200
54	 	PetMoonknight.bmp	189409	4300
55	 	PetMinotaur.bmp	189603	4400
56	 	PetShadowphantom.bmp	189604	4500
57	 	PetTeslacoil.bmp	189381	4600
58	 	PetNecroBible.bmp	189391	4700
60	 	PetDivino.bmp	189369	5000
61	 	PetGJormongand.bmp	189372	5100
62	 	PetSavertiger.bmp	1000014	5200
63	 	PetSheol.bmp	189608	5300
64	 	PetTurryDog.bmp	189609	5400
65	 	PetTreasureGolem.bmp	189610	5500
66	 	PetOscuras.bmp	189612	5600
67	 	PetAbyss.bmp	189613	5700
68	 	PetNercobus.bmp	189614	5800
69	 	PetAbyssAfkeer.bmp	189615	5900
70	 	PetAbyssDeses.bmp	189616	6000
71	 	PetNewNercobus.bmp	189631	6100
72	 	PetFahrel.bmp	189632	6200
73	 	PetTalos.bmp	189633	6300
74	 	PetAutoT.bmp	189634	6400
75	 	PetAutoTG.bmp	189635	6500
76	 	PetNovia.bmp	189636	6600
77	 	PetLavaleaf.bmp	189637	6700
78	 	PetEinschwer.bmp	189638	6800
79	 	PetMontorofinal.bmp	189639	6900
80	 	PetLavid.bmp	189640	7000
81	 	PetTreasurePhobitan.bmp	189641	7100
82	 	PetRayphantom.bmp	189642	7200
83	 	PetFlyingfrog.bmp	189643	7300
84	 	PetDorol.bmp	189644	7400
500	 	PetTiger_Y.bmp	800002	1100
501	 	PetJormongand.bmp	800003	2400
502	 	PetReydeavaricia.bmp	800004	1500
503	 	PetAcorchado.bmp	800005	2500
504	 	PetBlueHorse.bmp	800006	3300
505	 	PetRedHorse.bmp	800007	3400
506	 	PetDivino.bmp	800011	5000
110001	 	PetTiger_Y.bmp	121426	110001
110002	 	PetTiger_R.bmp	155098	110002
400000	 	PetDeer.bmp	300000	400000
400001	 	PetTiger_Y.bmp	421426	400001
400002	 	PetTiger_B.bmp	421427	400002
400003	 	PetTiger_W.bmp	421428	400003
500000	 	PetElephant.bmp	521400	500000
