ActionCamDist	ActionCamFreq	AtkLayer	Buff	BuffAlarmOnBoth	BuffAlarmOnEnemy	BuffAlarmOnMCC	BuffAlarmOnMe	BuffFreq	BuffID	BuffType	CastDist	CastSkill	CastTime	ChargeAddR	ChargeGauge	ChargeType	ChaseTime	CheckBuff	CheckBuffLevel	ClassID	ClassName	ClassType	ComboSkill	CoolDown	CurStackSkillCount	DamageType	Desc	DmgTarget	DownTime	Drain	EngName	FileName	FlyingTime	HandType	HateAmnt	HitDist	HitTime	Hits	HoldTarget	HoldTime	IgnoreCastHIT	IgnoreDEF	InitCastTime	KBDist	KBTime	KDRank	KDownHAngle	KDownPower	KDownType	KDownVAngle	MaxPlacement	MaxR	MaxStackSkillCount	MinR	MoveDist	Name	OnAll	OnCorpse	OnEnemy	OnEqpShld	OnOthers	OnParty	OnSquad	OnSummon	OnTeam	OnTrigger	PerentSkillID	Placement	PvPFix	RefreshTime	RemBuff1	RemBuff2	RemBuff3	RemBuff4	RemBuff5	Script	SkillEndScript	SklATK	SklEXP	SklLv	SklLv_BM	SklMedium	SklMetal	SklRank	SklSoft	SpecDesc0	SpecDesc1	SpecDesc10	SpecDesc11	SpecDesc12	SpecDesc13	SpecDesc14	SpecDesc15	SpecDesc2	SpecDesc3	SpecDesc4	SpecDesc5	SpecDesc6	SpecDesc7	SpecDesc8	SpecDesc9	SpecialType	SpendCatal	SpendHP	SpendItemCount	SpendItemID	SpendSP	SplDam	SplLimit	SplType	SplashAngle	SplashRange	StackSkillChargeTime	StackSkillType	Target	TargetDesc	Uni	UseCheck	UseType	ValueType	ViewAllyCast	ViewEnemyCastName	WaveLength	XPType	kdDist
1200	0	1	Sprint	None	None	None	None	100	64	FORCE	0	TRUE	1133	0	0	None	0	None	0	1006	Sprint	BUFF	None	300000	0	None	<$>185546</>	HP	0	None	Sprint	job_sprint	0	RH	0	0	0	0	SELF	1130	YES	0	1133	0	0	0	0	0	normal	0	0	100	0	0	0	<$>185454</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	226	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>58079</>	<$>58088</>	<$>58089</>	<$>58090</>	<$>58091</>	<$>58092</>	<$>58093</>	<$>58080</>	<$>58081</>	<$>58082</>	<$>58083</>	<$>58084</>	<$>58085</>	<$>58086</>	<$>58087</>	none	0	0	0	0	100	0	0	None	0	0	0	None	None	<$>58026</>	FALSE	FALSE	SELF	Buff	0	1	0	20001	0
1200	0	2	GrimReaper	None	None	None	None	0	0	FORCE	0	FALSE	0	0	0	None	0	None	0	1009	GrimReaper	BUFF	None	180000	0	None	<$>113097</>	HP	0	None	The Grim Reaper	job_summon_grim1	0	RH	0	0	0	0	SELF	1500	YES	0	0	0	0	0	0	0	normal	0	1	100	0	0	0	<$>44960</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	150	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	1	100	<$>58005</>	<$>103791</>	<$>103791</>	<$>167217</>	<$>167217</>	<$>167217</>	<$>167217</>	<$>167217</>	<$>103791</>	<$>103791</>	<$>103791</>	<$>103791</>	<$>103791</>	<$>103791</>	<$>103791</>	<$>103791</>	none	0	0	0	0	300	0	0	None	0	0	0	None	None	<$>58026</>	TRUE	FALSE	SELF	Buff	0	1	0	20001	0
1200	0	2	None	None	None	None	None	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	1070	HolyAura	HEAL	None	90000	0	None	<$>117714</>	HP	0	None	Holy Aura	job_holyaura	0	RH	0	0	0	0	SELF	1833	YES	0	0	0	0	0	0	0	normal	0	0	100	0	0	0	<$>117713</>	NO	NO	NO	FALSE	NO	NO	YES	NO	YES	NO	0	None	1.2	220	none	none	none	none	none	SCR_SKILL_HEAL	None	0	0	1	0	100	100	1	100	<$>58005</>	<$>117716</>	<$>117716</>	<$>117717</>	<$>117718</>	<$>117718</>	<$>117718</>	<$>117718</>	<$>117716</>	<$>117716</>	<$>117716</>	<$>117716</>	<$>117716</>	<$>117716</>	<$>117716</>	<$>117716</>	none	0	0	0	0	750	1	5	Circle	0	1000	0	None	None	<$>117715</>	TRUE	FALSE	AREA	Heal	0	0	0	20001	0
1200	0	1	None	None	None	None	None	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	1072	CamouflageHunt	BUFF	None	60000	0	None	<$>120227</>	HP	0	None	Camouflage Hunter	job_camouflagehunt	0	RH	0	0	0	0	SELF	1700	YES	0	0	0	0	0	0	0	normal	0	3	150	0	50	0	<$>120226</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	Monster_HuntingTrap	1.2	120	none	none	none	none	none	SCR_SKILL_PLACEMENT	SCR_SKILL_REMOVEBUFF	0	0	1	0	100	100	1	100	<$>58005</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	<$>120228</>	none	0	0	0	0	300	0	0	None	0	0	0	None	Ground	<$>60633</>	TRUE	FALSE	PLACEMENT	Buff	0	0	0	20001	0
1200	0	2	Karma2	None	None	None	None	100	824	FORCE	0	FALSE	0	0	0	None	0	None	0	1116	Karma	BUFF	None	10000	0	None	<$>204398</>	HP	0	None	Karma	job_karma	0	RH	0	0	0	0	SELF	1833	YES	0	0	0	0	0	0	0	normal	0	0	1600	0	100	0	<$>204397</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	700	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	0	0	1	0	100	100	1	100	<$>58005</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	<$>204399</>	none	0	0	0	0	200	0	6	Circle	0	600	0	None	Ground	<$>182262</>	TRUE	FALSE	AREA	Buff	0	1	0	20001	0
500	0	1	BrokenWeapon	None	None	None	None	100	845	FORCE	0	FALSE	0	0	0	None	0	None	0	10174	AtomicSlash	MELEE	None	20000	0	None	<$>58996</>	HP	1000	None	Atomic Slash	csd_atomicslash	788	RH	257	195	2600	5	BOTH	3700	YES	150	0	350	1900	30	0	150	rightspin	30	0	120	0	25	455	<$>58995</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	370	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	36.25	0	1	0	100	100	4	100	<$>184462</>	<$>155909</>	<$>155918</>	<$>155919</>	<$>155919</>	<$>155919</>	<$>155919</>	<$>155919</>	<$>155910</>	<$>155911</>	<$>155912</>	<$>155913</>	<$>155914</>	<$>155915</>	<$>155916</>	<$>155917</>	Atomic	0	0	0	0	540	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	1	0	20004	400
1200	0	1	Sacredpro	None	None	None	None	0	472	FORCE	0	FALSE	0	0	0	None	0	None	0	10175	SacredProtection	BUFF	None	60000	0	None	<$>177345</>	HP	0	None	Sacred Protection	csd_sacredprotection	0	RH	0	0	0	0	SELF	200	YES	0	0	0	0	0	0	0	normal	50	0	100	0	0	0	<$>59009</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	0	None	1.2	20	none	none	none	none	none	SCR_SKILL_BUFF	SCR_SKILL_END_LIB	0	0	1	0	100	100	5	100	<$>184463</>	<$>103888</>	<$>103897</>	<$>103898</>	<$>103899</>	<$>103900</>	<$>103901</>	<$>103902</>	<$>103889</>	<$>103890</>	<$>103891</>	<$>103892</>	<$>103893</>	<$>103894</>	<$>103895</>	<$>103896</>	none	0	0	0	0	850	0	0	None	0	0	0	None	None	<$>58026</>	TRUE	FALSE	SELF	Buff	0	1	0	20005	0
500	0	2	Slow2	None	None	None	None	50	272	Normal	0	FALSE	0	0	0	None	0	None	0	10551	RuedaVentana	MELEE	None	5000	0	None	<$>93148</>	HP	1300	None	Rueda Ventana	tor_ruedaventana	692	RH	57	0	1030	1	BOTH	2370	YES	100	0	0	1540	30	0	107	normal	30	0	100	0	0	0	<$>59713</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	237	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_END_LIB	27.75	0	1	0	100	100	1	100	<$>184579</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	<$>185477</>	NoDestruido	0	0	0	0	240	1	6	Circle	0	500	0	None	None	<$>59715</>	TRUE	FALSE	AREA	Attack	0	1	0	20001	400
500	0	2	Stun	None	None	None	Destruido	50	3	Normal	0	FALSE	0	0	0	None	0	None	0	10553	TornadoChoque	MELEE	None	15000	0	None	<$>59732</>	HP	1400	None	Tornado Choque	tor_tornadochoque	1235	RH	118	200	2400	3	BOTH	4070	YES	150	0	600	2270	30	0	114	normal	60	0	250	0	1	160	<$>59731</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	407	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	12	0	1	0	100	100	3	100	<$>184581</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	<$>185478</>	none	0	0	0	0	340	1	4	Circle	0	300	0	None	Enemy	<$>58850</>	TRUE	FALSE	SPLASH_MELEE	Attack	0	1	0	20003	450
500	0	2	None	None	None	None	Destruido	0	0	Normal	0	FALSE	0	0	0	None	0	None	0	10554	Tronada	MELEE	None	20000	0	None	<$>59736</>	HP	1500	None	Tronada	tor_tronada	1905	RH	211	120	2830	6	BOTH	4130	YES	180	0	600	2100	30	0	160	rightspin	75	0	250	0	1	80	<$>59735</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	0	None	1.2	413	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	15.75	0	1	0	100	100	4	100	<$>184582</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	<$>185479</>	ShieldBreak	0	0	0	0	440	0	0	None	0	0	0	None	Enemy	<$>58727</>	TRUE	FALSE	MELEE	Attack	0	1	0	20004	150
