ChipCount	ChipType	ClassID	ClassName	Down	Grade	Rank	Stay	Up
10	21926	1	Ear_g3r0	0	3	0	0	100
10	21926	2	Ear_g3r1	0	3	1	0	100
10	21926	3	Ear_g3r2	0	3	2	0	100
20	21926	4	Ear_g3r3	0	3	3	0	100
20	21926	5	Ear_g3r4	0	3	4	0	100
20	21926	6	Ear_g3r5	0	3	5	0	100
30	21926	7	Ear_g3r6	0	3	6	0	100
30	21926	8	Ear_g3r7	0	3	7	0	100
30	21926	9	Ear_g3r8	0	3	8	0	100
0	21926	10	Ear_g3r9	0	3	9	100	0
0	21926	11	Ear_g3r10	0	3	10	100	0
20	21926	12	Ear_g4r0	0	4	0	0	100
20	21926	13	Ear_g4r1	0	4	1	0	100
20	21926	14	Ear_g4r2	0	4	2	0	100
30	21926	15	Ear_g4r3	0	4	3	0	100
30	21926	16	Ear_g4r4	0	4	4	0	100
30	21926	17	Ear_g4r5	0	4	5	0	100
40	21926	18	Ear_g4r6	0	4	6	0	100
40	21926	19	Ear_g4r7	0	4	7	0	100
40	21926	20	Ear_g4r8	0	4	8	0	100
40	21926	21	Ear_g4r9	0	4	9	0	100
0	21926	22	Ear_g4r10	0	4	10	100	0
20	21928	23	Ear_g5r0	0	5	0	0	100
20	21928	24	Ear_g5r1	0	5	1	0	100
20	21928	25	Ear_g5r2	0	5	2	0	100
30	21928	26	Ear_g5r3	0	5	3	0	100
30	21928	27	Ear_g5r4	0	5	4	0	100
30	21928	28	Ear_g5r5	0	5	5	0	100
40	21928	29	Ear_g5r6	0	5	6	0	100
40	21928	30	Ear_g5r7	0	5	7	0	100
40	21928	31	Ear_g5r8	0	5	8	0	100
40	21928	32	Ear_g5r9	0	5	9	0	100
0	21928	33	Ear_g5r10	0	5	10	100	0
20	21928	34	Ear_g6r0	0	6	0	0	100
20	21928	35	Ear_g6r1	0	6	1	0	100
20	21928	36	Ear_g6r2	0	6	2	0	100
30	21928	37	Ear_g6r3	0	6	3	0	100
30	21928	38	Ear_g6r4	0	6	4	0	100
30	21928	39	Ear_g6r5	0	6	5	0	100
40	21928	40	Ear_g6r6	0	6	6	0	100
40	21928	41	Ear_g6r7	0	6	7	0	100
40	21928	42	Ear_g6r8	0	6	8	0	100
40	21928	43	Ear_g6r9	0	6	9	0	100
0	21928	44	Ear_g6r10	0	6	10	100	0
20	24109	45	Ear_g7r0	0	7	0	0	100
20	24109	46	Ear_g7r1	0	7	1	0	100
20	24109	47	Ear_g7r2	0	7	2	0	100
30	24109	48	Ear_g7r3	0	7	3	0	100
30	24109	49	Ear_g7r4	0	7	4	0	100
30	24109	50	Ear_g7r5	0	7	5	0	100
40	24109	51	Ear_g7r6	0	7	6	0	100
40	24109	52	Ear_g7r7	0	7	7	0	100
40	24109	53	Ear_g7r8	0	7	8	0	100
40	24109	54	Ear_g7r9	0	7	9	0	100
0	24109	55	Ear_g7r10	0	7	10	100	0
