ClassID	ClassName	ConditionText	GetScript	Group	ItemName	ReqItem1	ReqItem1Count	ReqItem2	ReqItem2Count	ReqItem3	ReqItem3Count	ReqItem4	ReqItem4Count	ReqProp1	ReqProp1Text	ReqProp1Value	ReqProp2	ReqProp2Text	ReqProp2Value	ReqProp3	ReqProp3Text	ReqProp3Value	ReqScript
21	AF_E_BlackRose	<$>111087</>	GET_ARTIFACT	Unique	E_BlackRose	BlackRose	1	BloodyRose	1	BalanceEssence	500	None	0	Bst_Merchant	None	200	EQ_Leonele	None	30	None	None	0	REQ_ARTIFACT
22	AF_E_BloodyRose	<$>111087</>	GET_ARTIFACT	Unique	E_BloodyRose	BlackRose	1	BloodyRose	1	BalanceEssence	500	None	0	Bst_Merchant	None	200	EQ_Leonele	None	30	None	None	0	REQ_ARTIFACT
23	AF_E_SMemory	<$>111088</>	GET_ARTIFACT	Unique	E_SellenesMemory	SellenesMemory	1	SellenesHeart	1	PureEssence	500	None	0	Bst_PortGuild	None	200	EQ_Leonele	None	30	None	None	0	REQ_ARTIFACT
24	AF_E_SHeart	<$>111088</>	GET_ARTIFACT	Unique	E_SellenesHeart	SellenesMemory	1	SellenesHeart	1	PureEssence	500	None	0	Bst_PortGuild	None	200	EQ_Leonele	None	30	None	None	0	REQ_ARTIFACT
25	AF_E_RmansNut	<$>111089</>	GET_ARTIFACT	Unique	E_RepairmansNut	RepairmansNut	1	RepairmansBolt	1	BalanceEssence	500	None	0	Bst_Slum	None	200	EQ_Leonele	None	30	None	None	0	REQ_ARTIFACT
26	AF_E_RmansBolt	<$>111089</>	GET_ARTIFACT	Unique	E_RepairmansBolt	RepairmansNut	1	RepairmansBolt	1	BalanceEssence	500	None	0	Bst_Slum	None	200	EQ_Leonele	None	30	None	None	0	REQ_ARTIFACT
27	AF_MarchettiPen	<$>111090</>	GET_ARTIFACT	Unique	MarchettiPen	PureEssence	500	None	0	None	0	None	0	Bst_Labo	None	200	XQ_Marchetti	None	30	None	None	0	REQ_ARTIFACT
28	AF_Barrelbarrel	<$>111091</>	GET_ARTIFACT	Unique	Barrelbarrel	BalanceEssence	500	None	0	None	0	None	0	Bst_Slum	None	200	XQ_Barrel	None	30	None	None	0	REQ_ARTIFACT
29	AF_OldPioneerNecklace	<$>89702</>	GET_ARTIFACT_EVENT	Event	OldPioneerNecklace	None	0	None	0	None	0	None	0	RTO_Event	None	1	None	None	0	None	None	0	REQ_ARTIFACT_EVNET
30	AF_OldPioneersPiercing	<$>89702</>	GET_ARTIFACT_EVENT	Event	OldPioneersPiercing	None	0	None	0	None	0	None	0	RTO_Event	None	1	None	None	0	None	None	0	REQ_ARTIFACT_EVNET
31	AF_HeyranPendent	<$>111092</>	GET_ARTIFACT	Unique	HeyranPendent	FallenEssence	500	None	0	None	0	None	0	Bst_Governor	None	200	ZQ_Heyran	None	20	None	None	0	REQ_ARTIFACT
305	AF_OldLavidgallop	<$>183788</>	GET_ARTIFACT	Normal	OldLavidgallop	ZizEssence	50	Constellationofproof	30	None	0	None	0	Quest_21110	None	200	None	None	0	None	None	0	REQ_ARTIFACT
306	AF_Lavidgallop	<$>183788</>	GET_ARTIFACT	Elite	Lavidgallop	OldLavidgallop	1	ZizEssence	100	Constellationofproof	100	None	0	Quest_21110	None	200	None	None	0	None	None	0	REQ_ARTIFACT
308	AF_OldLavidquickplay	<$>183788</>	GET_ARTIFACT	Normal	OldLavidquickplay	ZizEssence	50	Constellationofproof	30	None	0	None	0	Quest_21110	None	200	None	None	0	None	None	0	REQ_ARTIFACT
309	AF_Lavidquickplay	<$>183788</>	GET_ARTIFACT	Elite	Lavidquickplay	OldLavidquickplay	1	ZizEssence	100	Constellationofproof	100	None	0	Quest_21110	None	200	None	None	0	None	None	0	REQ_ARTIFACT
311	AF_OldLavidprophecy	<$>183788</>	GET_ARTIFACT	Normal	OldLavidprophecy	ZizEssence	50	Constellationofproof	30	None	0	None	0	Quest_21110	None	200	None	None	0	None	None	0	REQ_ARTIFACT
312	AF_Lavidprophecy	<$>183788</>	GET_ARTIFACT	Elite	Lavidprophecy	OldLavidprophecy	1	ZizEssence	100	Constellationofproof	100	None	0	Quest_21110	None	200	None	None	0	None	None	0	REQ_ARTIFACT
371	AF_OldOrdenSloth	<$>13438</>	GET_ARTIFACT	Normal	Old_Orden_Sloth	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
372	AF_OrdenSloth	<$>13438</>	GET_ARTIFACT	Elite	Orden_Sloth	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
373	AF_EliteOrdenSloth	<$>13438</>	GET_ARTIFACT	Unique	Elite_Orden_Sloth	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
374	AF_OldOrdenWrath	<$>13438</>	GET_ARTIFACT	Normal	Old_Orden_Wrath	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
375	AF_OrdenWrath	<$>13438</>	GET_ARTIFACT	Elite	Orden_Wrath	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
376	AF_EliteOrdenWrath	<$>13438</>	GET_ARTIFACT	Unique	Elite_Orden_Wrath	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
377	AF_OldOrdenGreed	<$>13438</>	GET_ARTIFACT	Normal	Old_Orden_Greed	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
378	AF_OrdenGreed	<$>13438</>	GET_ARTIFACT	Elite	Orden_Greed	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
379	AF_EliteOrdenGreed	<$>13438</>	GET_ARTIFACT	Unique	Elite_Orden_Greed	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
380	AF_OldOrdenEnvy	<$>13438</>	GET_ARTIFACT	Normal	Old_Orden_Envy	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
381	AF_OrdenEnvy	<$>13438</>	GET_ARTIFACT	Elite	Orden_Envy	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
382	AF_EliteOrdenEnvy	<$>13438</>	GET_ARTIFACT	Unique	Elite_Orden_Envy	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
383	AF_OldOrdenPride	<$>13438</>	GET_ARTIFACT	Normal	Old_Orden_Pride	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
384	AF_OrdenPride	<$>13438</>	GET_ARTIFACT	Elite	Orden_Pride	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
385	AF_EliteOrdenPride	<$>13438</>	GET_ARTIFACT	Unique	Elite_Orden_Pride	None	0	None	0	None	0	None	0	Quest_180068	None	500	None	None	0	None	None	0	REQ_ARTIFACT
