ApplyTag1	ApplyTag2	ApplyTag3	ClassID	ClassName	DefRewardCount	DefRewardItem	Name	PerPix	PerRewardCount	PerRewardItem	Rank	Stat	Tag1	Tag2	Tag3	Time	UseItem	UseItemCount
Time	Percent	UseItem	1	Expedition1	1	23233	<$>29460</>	0.2	3	157090	1	STR	2	16	58	240	21450	200
Time	Time	Time	2	Expedition2	1	23233	<$>29461</>	0.4	10	157091	1	AGI	26	6	3	960	21450	100
Time	Time	Percent	3	Expedition3	1	23233	<$>29462</>	0.2	10	192005	1	CON	5	2	26	480	21450	100
Time	Time	UseItem	4	Expedition4	1	23233	<$>222604</>	0.4	10	24113	1	DEX	63	7	4	480	21450	200
Percent	Percent	Time	5	Expedition5	1	23233	<$>29464</>	0.1	10	24109	1	INT	42	3	6	240	21450	100
Percent	Percent	Percent	6	Expedition6	1	23233	<$>47562</>	0.05	1	77561	1	CHA	3	5	16	120	21450	100
Percent	Percent	UseItem	7	Expedition7	1	23233	<$>48090</>	0.1	1	77565	1	STR	6	26	2	120	21450	200
UseItem	UseItem	Time	8	Expedition8	1	23233	<$>13687</>	0.4	1	77564	1	AGI	7	4	48	240	21450	400
UseItem	UseItem	Percent	9	Expedition9	1	23233	<$>222605</>	0.2	1	77563	1	CON	59	26	5	120	21450	400
UseItem	UseItem	UseItem	10	Expedition10	1	23233	<$>222606</>	0.4	1	88321	1	DEX	63	49	27	120	21450	800
Time	Percent	UseItem	11	Expedition11	1	23233	<$>13002</>	0.2	1	160028	1	INT	63	62	10	480	21450	200
Time	Time	Time	12	Expedition12	1	23233	<$>124421</>	0.4	1	23150	1	CHA	41	27	42	1920	21450	100
Time	Time	Percent	13	Expedition13	1	23233	<$>124422</>	0.2	1	23457	1	STR	42	43	36	960	21450	100
Time	Time	UseItem	14	Expedition14	1	23233	<$>222607</>	0.4	1	23525	1	AGI	78	49	67	960	21450	200
Percent	Percent	Time	15	Expedition15	1	23233	<$>222608</>	0.1	1	23526	1	CON	50	48	43	480	21450	100
Percent	Percent	Percent	16	Expedition16	1	23233	<$>222609</>	0.05	1	23524	1	DEX	68	21	27	240	21450	100
Percent	Percent	UseItem	17	Expedition17	1	23233	<$>47570</>	0.1	1	20043	1	INT	59	53	63	240	21450	200
UseItem	UseItem	Time	18	Expedition18	1	23233	<$>53892</>	0.4	3	192008	1	CHA	27	49	6	480	21450	400
UseItem	UseItem	Percent	19	Expedition19	1	23233	<$>13214</>	0.2	2	192006	1	STR	55	63	20	240	21450	400
UseItem	UseItem	UseItem	20	Expedition20	1	23233	<$>53937</>	0.4	2	192007	1	AGI	79	27	83	240	21450	800
Time	Percent	UseItem	21	Expedition21	1	23233	<$>222610</>	0.15	1	157222	2	CON	87	29	25	720	21450	300
Time	Time	Time	22	Expedition22	1	23233	<$>222611</>	0.3	1	20618	2	DEX	18	19	29	2880	21450	150
Time	Time	Percent	23	Expedition23	1	23233	<$>13417</>	0.15	1	20620	2	INT	78	84	12	1440	21450	150
Time	Time	UseItem	24	Expedition24	1	23233	<$>13418</>	0.3	1	20621	2	CHA	38	17	88	1440	21450	300
Percent	Percent	Time	25	Expedition25	1	23233	<$>39441</>	0.075	1	192010	2	STR	22	92	38	720	21450	150
Percent	Percent	Percent	26	Expedition26	1	23233	<$>222612</>	0.0375	10	192097	2	AGI	43	8	15	360	21450	150
Percent	Percent	UseItem	27	Expedition27	1	23233	<$>53849</>	0.075	1	160226	2	CON	82	55	73	360	21450	300
UseItem	UseItem	Time	28	Expedition28	1	23233	<$>222613</>	0.3	3	192095	2	DEX	72	47	34	720	21450	600
UseItem	UseItem	Percent	29	Expedition29	1	23233	<$>54501</>	0.15	2	192093	2	INT	35	28	36	360	21450	600
UseItem	UseItem	UseItem	30	Expedition30	1	23233	<$>12575</>	0.3	2	192094	2	CHA	87	54	22	360	21450	1200
Time	Percent	UseItem	31	Expedition31	1	23233	<$>29480</>	0.15	1	160129	2	STR	21	61	79	960	21450	400
Time	Time	Time	32	Expedition32	1	23233	<$>29483</>	0.3	1	88355	2	AGI	25	60	83	3840	21450	200
Time	Time	Percent	33	Expedition33	1	23233	<$>29484</>	0.15	1	23452	2	CON	63	69	78	1920	21450	200
Time	Time	UseItem	34	Expedition34	1	23233	<$>47618</>	0.3	3	88018	2	DEX	90	89	30	1920	21450	400
Percent	Percent	Time	35	Expedition35	1	23233	<$>14444</>	0.075	1	21153	2	INT	15	67	64	960	21450	200
Percent	Percent	Percent	36	Expedition36	1	23233	<$>29489</>	0.0375	3	192264	2	CHA	84	56	28	480	21450	200
Percent	Percent	UseItem	37	Expedition37	1	23233	<$>222614</>	0.075	2	192262	2	STR	79	73	88	480	21450	400
UseItem	UseItem	Time	38	Expedition38	1	23233	<$>222615</>	0.3	2	192263	2	AGI	13	82	37	960	21450	800
UseItem	UseItem	Percent	39	Expedition39	1	23233	<$>12669</>	0.15	1	160241	2	CON	78	31	91	480	21450	800
UseItem	UseItem	UseItem	40	Expedition40	1	23233	<$>222616</>	0.3	10	192261	2	DEX	93	68	31	480	21450	1600
Time	Percent	UseItem	41	Expedition41	1	23233	<$>12688</>	0.1	1	129638	3	INT	47	7	72	1440	21450	800
Time	Time	Time	42	Expedition42	1	23233	<$>222617</>	0.2	1	129643	3	CHA	31	51	32	5760	21450	400
Time	Time	Percent	43	Expedition43	1	23233	<$>50064</>	0.1	1	129654	3	STR	79	90	18	2880	21450	400
Time	Time	UseItem	44	Expedition44	1	23233	<$>222618</>	0.2	1	129655	3	AGI	86	74	89	2880	21450	800
Percent	Percent	Time	45	Expedition45	1	23233	<$>110854</>	0.05	1	129656	3	CON	71	86	50	1440	21450	400
Percent	Percent	Percent	46	Expedition46	1	23233	<$>108622</>	0.025	1	129658	3	DEX	83	62	31	720	21450	400
Percent	Percent	UseItem	47	Expedition47	1	23233	<$>29478</>	0.05	1	129660	3	INT	23	82	90	720	21450	800
UseItem	UseItem	Time	48	Expedition48	1	23233	<$>29498</>	0.2	1	129635	3	CHA	80	23	52	1440	21450	1600
UseItem	UseItem	Percent	49	Expedition49	1	23233	<$>222619</>	0.1	1	129648	3	STR	46	75	87	720	21450	1600
UseItem	UseItem	UseItem	50	Expedition50	1	23233	<$>12711</>	0.2	1	129649	3	AGI	70	84	54	720	21450	3200
Time	Percent	UseItem	51	Expedition51	1	23233	<$>222620</>	0.1	1	129657	3	CON	85	41	71	1680	21450	600
Time	Time	Time	52	Expedition52	1	23233	<$>222621</>	0.2	1	129659	3	DEX	92	81	8	6720	21450	300
Time	Time	Percent	53	Expedition53	1	23233	<$>8021</>	0.1	1	129662	3	INT	24	15	73	3360	21450	300
Time	Time	UseItem	54	Expedition54	1	23233	<$>222622</>	0.2	1	129661	3	CHA	72	93	78	3360	21450	600
Percent	Percent	Time	55	Expedition55	1	23233	<$>222623</>	0.05	1	157269	3	STR	88	89	24	1680	21450	300
Percent	Percent	Percent	56	Expedition56	1	23233	<$>222624</>	0.025	1	15308	3	AGI	19	79	68	840	21450	300
Percent	Percent	UseItem	57	Expedition57	1	23233	<$>222625</>	0.05	1	46026	3	CON	91	48	80	840	21450	600
UseItem	UseItem	Time	58	Expedition58	1	23233	<$>64525</>	0.2	1	45018	3	DEX	81	24	45	1680	21450	1200
UseItem	UseItem	Percent	59	Expedition59	1	23233	<$>222626</>	0.1	1	19126	3	INT	59	69	61	840	21450	1200
UseItem	UseItem	UseItem	60	Expedition60	1	23233	<$>222627</>	0.2	1	19525	3	CHA	13	87	9	840	21450	2400
Time	Percent	UseItem	61	Expedition61	10	75330	<$>39550</>	0.05	1	129633	4	STR	84	86	14	1920	21804	10
Time	Time	Time	62	Expedition62	10	75330	<$>222628</>	0.1	1	129634	4	AGI	50	90	82	7680	21804	5
Time	Time	Percent	63	Expedition63	10	75330	<$>222629</>	0.05	1	129636	4	CON	18	64	77	3840	21804	5
Time	Time	UseItem	64	Expedition64	10	75330	<$>29551</>	0.1	1	129637	4	DEX	32	83	89	3840	21804	10
Percent	Percent	Time	65	Expedition65	10	75330	<$>222630</>	0.025	1	129639	4	INT	82	91	37	1920	21804	5
Percent	Percent	Percent	66	Expedition66	10	75330	<$>222631</>	0.0125	1	129640	4	CHA	93	66	80	960	21804	5
Percent	Percent	UseItem	67	Expedition67	10	75330	<$>222632</>	0.025	1	129641	4	STR	78	44	74	960	21804	10
