ClassID	ClassName	Desc	DescFont	GroupName	LuminID	Script	ServiceMin	Value
111001	Period_Kunzite_RCOS_1Day	<$>76127</>	white_yellow_14_ol	RCOS	155055	Socket_IncCRTATK	1440	5
111002	Period_Kunzite_LCOS_1Day	<$>76127</>	white_yellow_14_ol	LCOS	155055	Socket_IncCRTATK	1440	5
111003	Period_Kunzite_Costume_1Day	<$>76128</>	white_yellow_14_ol	Costume	155055	Socket_IncCRTDEF	1440	5
111004	Period_Kunzite_RCOS_3Day	<$>76127</>	white_yellow_14_ol	RCOS	155056	Socket_IncCRTATK	4320	5
111005	Period_Kunzite_LCOS_3Day	<$>76127</>	white_yellow_14_ol	LCOS	155056	Socket_IncCRTATK	4320	5
111006	Period_Kunzite_Costume_3Day	<$>76128</>	white_yellow_14_ol	Costume	155056	Socket_IncCRTDEF	4320	5
111007	Period_Fluorite_RCOS_1Day	<$>76129</>	white_yellow_14_ol	RCOS	155057	Socket_IncMSP	1440	200
111008	Period_Fluorite_LCOS_1Day	<$>76129</>	white_yellow_14_ol	LCOS	155057	Socket_IncMSP	1440	200
111009	Period_Fluorite_Costume_1Day	<$>76130</>	white_yellow_14_ol	Costume	155057	Socket_IncMHP	1440	1500
111010	Period_Fluorite_RCOS_3Day	<$>76129</>	white_yellow_14_ol	RCOS	155058	Socket_IncMSP	4320	200
111011	Period_Fluorite_LCOS_3Day	<$>76129</>	white_yellow_14_ol	LCOS	155058	Socket_IncMSP	4320	200
111012	Period_Fluorite_Costume_3Day	<$>76130</>	white_yellow_14_ol	Costume	155058	Socket_IncMHP	4320	1500
111013	Period_Jade_RCOS_1Day	<$>103669</>	white_yellow_14_ol	RCOS	155059	Socket_IncCAST	1440	10
111014	Period_Jade_LCOS_1Day	<$>103669</>	white_yellow_14_ol	LCOS	155059	Socket_IncCAST	1440	10
111015	Period_Jade_Costume_1Day	<$>76131</>	white_yellow_14_ol	Costume	155059	Socket_IncWEIGHT	1440	10
111016	Period_Jade_RCOS_3Day	<$>103669</>	white_yellow_14_ol	RCOS	155060	Socket_IncCAST	4320	10
111017	Period_Jade_LCOS_3Day	<$>103669</>	white_yellow_14_ol	LCOS	155060	Socket_IncCAST	4320	10
111018	Period_Jade_Costume_3Day	<$>76131</>	white_yellow_14_ol	Costume	155060	Socket_IncWEIGHT	4320	10
111019	Period_Sodalite_Costume_3Day	<$>76132</>	white_yellow_14_ol	Costume	155068	Socket_IncIMP	43200	6
111020	Period_Rutilated_Costume_3Day	<$>76133</>	white_yellow_14_ol	Costume	155069	Socket_IncMHP	43200	2500
111021	Period_Chrysoprase_Costume_3Day	<$>76134</>	white_yellow_14_ol	Costume	155070	Socket_IncDEF	43200	15
111022	Period_Promoldavite_Costume_3Day	<$>76135</>	white_yellow_14_ol	Costume	155071	Socket_IncPR	43200	10
111023	Period_Pilite_Costume_3Day	<$>76136</>	white_yellow_14_ol	Costume	155072	Socket_IncBLK	43200	10
111024	Lumin_Onyx_RCOS	<$>76137</>	white_yellow_14_ol	RCOS	155081	Socket_IncIP	0	6
111025	Lumin_Onyx_LCOS	<$>76137</>	white_yellow_14_ol	LCOS	155081	Socket_IncIP	0	6
111026	Lumin_Coral_RCOS	<$>76138</>	white_yellow_14_ol	RCOS	155082	Socket_IncATKWCOS	0	7
111027	Lumin_Coral_LCOS	<$>76138</>	white_yellow_14_ol	LCOS	155082	Socket_IncATKWCOS	0	7
111028	Lumin_Selenite_RCOS	<$>76139</>	white_yellow_14_ol	RCOS	155083	Socket_IncAllATK	0	5
111029	Lumin_Selenite_LCOS	<$>76139</>	white_yellow_14_ol	LCOS	155083	Socket_IncAllATK	0	5
111030	Lumin_Unakite_RCOS	<$>176345</>	white_yellow_14_ol	RCOS	155084	Socket_IncASPD	0	7
111031	Lumin_Unakite_LCOS	<$>176345</>	white_yellow_14_ol	LCOS	155084	Socket_IncASPD	0	7
111032	Lumin_Kunzite_RCOS	<$>76127</>	white_yellow_14_ol	RCOS	157001	Socket_IncCRTATK	0	5
111033	Lumin_Kunzite_LCOS	<$>76127</>	white_yellow_14_ol	LCOS	157001	Socket_IncCRTATK	0	5
111034	Lumin_Kunzite_Costume	<$>76128</>	white_yellow_14_ol	Costume	157001	Socket_IncCRTDEF	0	5
111035	Lumin_Fluorite_RCOS	<$>76141</>	white_yellow_14_ol	RCOS	157002	Socket_IncMSP	0	200
111036	Lumin_Fluorite_LCOS	<$>76141</>	white_yellow_14_ol	LCOS	157002	Socket_IncMSP	0	200
111037	Lumin_Fluorite_Costume	<$>76142</>	white_yellow_14_ol	Costume	157002	Socket_IncMHP	0	1500
111038	Lumin_Jade_RCOS	<$>103669</>	white_yellow_14_ol	RCOS	157003	Socket_IncCAST	0	10
111039	Lumin_JadeLCOS	<$>103669</>	white_yellow_14_ol	LCOS	157003	Socket_IncCAST	0	10
111040	Lumin_Jade_Costume	<$>76131</>	white_yellow_14_ol	Costume	157003	Socket_IncWEIGHT	0	10
