AR	ASPD	ASPD_Opt	ATK	AddATK	AddATK_Opt	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BLK_Opt	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	CRT_Opt	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefIP_Opt	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireATK_Opt	FireIP	FireIP_Opt	GolemBane	GroupName	HPDrain	HPDrain_Opt	HR	HR_Opt	HumanBane	IMP	IMP_Opt	IceATK	IceATK_Opt	IceIP	IceIP_Opt	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncLegend	IncMHP	IncMSP	IncSTR	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LghtATK_Opt	LghtIP_Opt	LgtIP	LogoutSave	MHP	MHP_Opt	MKP	MSP	MSPD	MSPD_Opt	MSP_Opt	MaterialSet	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	PR_Opt	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyATK_Opt	PsyIP	PsyIP_Opt	RFIRE	RFIRE_Opt	RHP	RHP_Opt	RICE	RICE_Opt	RLGHT	RLGHT_Opt	RPSY	RPSY_Opt	RSP	RSTAT	RSTAT_Opt	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	SetItemGroup	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	456101	LeBlancFGT_cash1	LeatherFGT	NO	178	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	OldEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Le Pouvoir (Fighter) - 1 day	BODY	equip_leather.ogg	2147483647	0	FALSE	it_m_leblanc	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>79049</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	18001	15	15	18003	15	15	18010	3	3	ARMOR	0	0	NO	1	None	5200000	0	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31849</>	1	456101	1.1	None	200000	0	0	Armor	<$>31940</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	27	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	456102	LeBlancWIZ_cash1	CoatWIZ	NO	153	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	OldEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Le Pouvoir (Wizard) - 1 day	BODY	equip_coat.ogg	2147483647	0	FALSE	it_m_leblanc	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>79050</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	19001	10	10	19003	15	15	19010	3	3	CLOTHE	0	0	NO	1	None	5200000	0	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31909</>	1	456102	1.1	None	200000	0	0	Armor	<$>31943</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	27	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	456103	LeBlancSCT_cash1	LeatherSCT	NO	178	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	OldEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Le Pouvoir (Scout) - 1 day	BODY	equip_leather.ogg	2147483647	0	FALSE	it_m_leblanc	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>79051</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	18001	15	15	18003	15	15	18010	3	3	ARMOR	0	0	NO	1	None	5200000	0	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31890</>	1	456103	1.1	None	200000	0	0	Armor	<$>31940</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	27	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	456104	LeBlancMUS_cash1	CoatMUS	NO	153	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	OldEqp	None	drop_clothe.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Le Pouvoir (Musketeer) - 1 day	BODY	equip_coat.ogg	2147483647	0	FALSE	it_m_leblanc	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>79052</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	19001	10	10	19003	15	15	19010	3	3	CLOTHE	0	0	NO	1	None	5200000	0	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31910</>	1	456104	1.1	None	200000	0	0	Armor	<$>31943</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	27	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Robe	<$>29668</>	456105	LeBlancWAR_cash1	Robe	NO	153	FALSE	1	0	0	BODY	0	<$>31934</>	0	70	-10	0	None	OldEqp	None	drop_leather.ogg	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Le Pouvoir (Elementalist) - 1 day	BODY	equip_coat.ogg	2147483647	0	FALSE	it_m_leblanc	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29668</>	SYS_item_column_red	0	<$>79053</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	19001	10	10	19003	15	15	19010	3	3	CLOTHE	0	0	NO	1	None	5200000	0	0	0	0	0	48	0	0	0	48	0	48	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>31876</>	1	456105	1.1	None	200000	0	0	Armor	<$>31950</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	27	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	190001	BlueSerpent_FGT_JPN	LeatherFGT	NO	203	FALSE	1	0	0	BODY	0	<$>74547</>	0	70	-10	0	None	EliteEqp	None	drop_leather.wav	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Blue Serpent for Fighter	BODY	equip_leather.wav	2147483647	0	FALSE	it_c_blueserpent2	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>32066</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	NO	1	None	2320000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>74548</>	1	190001	1.1	None	200000	0	0	Armor	<$>74330</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	31	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	31	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Leather	<$>31454</>	190002	BlueSerpent_SCT_JPN	LeatherSCT	NO	203	FALSE	1	0	0	BODY	0	<$>74547</>	0	70	-10	0	None	EliteEqp	None	drop_leather.wav	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Blue Serpent for Scout	BODY	equip_leather.wav	2147483647	0	FALSE	it_c_blueserpent3	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>31454</>	SYS_item_column_red	0	<$>74114</>	MEDIUM	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	0	0	0	0	0	0	0	0	0	ARMOR	0	0	NO	1	None	1600000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>74549</>	1	190002	1.1	None	200000	0	0	Armor	<$>74330</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	31	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	190003	BlueSerpent_MUS_JPN	CoatMUS	NO	173	FALSE	1	0	0	BODY	0	<$>74547</>	0	70	-10	0	None	EliteEqp	None	drop_clothe.wav	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Blue Serpent for Musketeer	BODY	equip_coat.wav	2147483647	0	FALSE	it_c_blueserpent4	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>32068</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	NO	1	None	2320000	1	0	0	0	0	36	0	0	0	36	0	36	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>74550</>	1	190003	1.1	None	200000	0	0	Armor	<$>74551</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	31	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Coat	<$>29667</>	190004	BlueSerpent_WIZ_JPN	CoatWIZ	NO	173	FALSE	1	0	0	BODY	0	<$>74547</>	0	70	-10	0	None	EliteEqp	None	drop_clothe.wav	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Blue Serpent for Wizard	BODY	equip_coat.wav	2147483647	0	FALSE	it_c_blueserpent5	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29667</>	SYS_item_column_red	0	<$>32069</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	NO	1	None	4000000	1	0	0	0	0	40	0	0	0	40	0	40	0	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>74552</>	1	190004	1.1	None	200000	0	0	Armor	<$>74551</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	31	None	0	0	0
0	0	0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	26	0	None	None	0	None	None	0	None	0	0	Armor	<$>31452</>	Armor_Robe	<$>29668</>	190005	BlueSerpent_WAR_JPN	Robe	NO	173	FALSE	1	0	0	BODY	0	<$>74547</>	0	70	-10	0	None	EliteEqp	None	drop_leather.wav	N/A	N/A	N/A	N/A	N/A	N/A	TRUE	0	None	100	Blue Serpent for Warlock	BODY	equip_coat.wav	2147483647	0	FALSE	it_c_blueserpent6	0	0	0	0	0	Armor	0	0	0	0	0	0	0	0	0	0	0	None	0	0	0	0	0	0	0	0	0	<$>29668</>	SYS_item_column_red	0	<$>32070</>	SOFT	0	1000	0	0	0	0	No	0	0	0	0	1	0	0	None	0	3	1	0	0	0	0	0	0	0	0	0	0	CLOTHE	0	0	NO	1	None	4000000	1	0	0	0	0	48	0	0	0	48	0	48	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>74553</>	1	190005	1.1	None	200000	0	0	Armor	<$>74554</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	100	TRUE	31	None	0	0	0
