ClassID	ClassName	DropItem1	DropItem2	DropItem3	DropItemCount1	DropItemCount2	DropItemCount3	DropItemRate1	DropItemRate2	DropItemRate3	DropMonster1	DropMonster2	DropMonster3	ItemCount1	ItemCount2	ItemCount3	MonsterCount1	MonsterCount2	MonsterCount3	Property1	Property2	Property3	Property4	Property5	Property6	PropertyValue1	PropertyValue2	PropertyValue3	PropertyValue4	PropertyValue5	PropertyValue6	QuestName	RewardCommPoint	SaveCount1	SaveCount2	SaveCount3	Stage	TargetItem1	TargetItem2	TargetItem3	TargetMonster1	TargetMonster2	TargetMonster3
400113	Quest_400113_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	100	1	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_400113	0	1	0	0	1	None	None	None	Monster_HauntedCandle	None	None
400114	Quest_400114_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	200	1	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_400114	0	1	0	0	1	None	None	None	Monster_HollowFootman	None	None
400115	Quest_400115_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	30	1	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_400115	0	1	0	0	1	None	None	None	Monster_VisageNoir	None	None
400116	Quest_400116_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	70	1	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_400116	0	1	0	0	1	None	None	None	Monster_MermanZombie	None	None
400117	Quest_400117_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	70	1	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_400117	0	1	0	0	1	None	None	None	Monster_LittlePlaqueEton	None	None
800001	Quest_800001_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	60	60	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800001	0	3	3	0	1	None	None	None	Monster_ZebraEater_Elite	Monster_Vedanobah_Elite	None
800002	Quest_800002_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	110	45	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800002	0	3	3	0	1	None	None	None	Monster_Phobitan_Elite	Monster_LazimLam_Elite	None
800003	Quest_800003_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	30	60	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800003	0	3	3	0	1	None	None	None	Monster_Merman_Elite	Monster_GaviDiGavi_Elite	None
800004	Quest_800004_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	115	40	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800004	0	3	3	0	1	None	None	None	Monster_FirePhobitan	Monster_GrimRipper	None
800005	Quest_800005_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	75	110	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800005	0	3	3	0	1	None	None	None	Monster_RogueHammerAgent_fm	Monster_spidercrab	None
800006	Quest_800006_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	150	95	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800006	0	3	3	0	1	None	None	None	Monster_velociskel	Monster_Tcapyleader	None
800007	Quest_800007_1	None	None	None	0	0	0	0	0	0	None	None	None	0	0	0	1	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_800007	0	1	0	0	1	None	None	None	Monster_Jormongand	None	None
62756	Quest_90005_1	None	None	None	0	0	0	0	0	0	monster_beachball_jackolantern	None	None	0	0	0	0	0	0	None	None	None	None	None	None	0	0	0	0	0	0	Quest_90005	0	0	0	0	1	None	None	None	None	None	None
