AR	ASPD	ATK	AddATK	AddSkl1ID	AddSkl1Lv	AddSkl2ID	AddSkl2Lv	AddSkl3ID	AddSkl3Lv	AddSkl4ID	AddSkl4Lv	AddSkl5ID	AddSkl5Lv	AtkSound	BLK	BaseATK	BaseDEF	BeastBane	BlkSound	BlowSound	BrLv	Buff	BuffDesc	BuffFreq	BuffName	CRT	Category1	Category1Name	Category2	Category2Name	ClassID	ClassName	ClassType	DBLHand	DEF	DeadDrop	DefEA	DefIP	DefaultEqpSlot	DemonBane	Desc	DinoBane	DropAngle	DropOffset	DropRareFreq	DropReinforceType	DropRule	DropSocketType	DropSound	Dummy_A_LH	Dummy_A_RH	Dummy_B	Dummy_F	Dummy_N_LH	Dummy_N_RH	EQUP	EffectLength	EmitterName	EnchantLv	EngName	EqpType	EquipSound	FesoPrice	FesoSellPrice	FesoVenderable	FileName	FireATK	FireIP	GolemBane	GroupName	HPDrain	HR	HumanBane	IMP	IceATK	IceIP	ImgName	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	ItemClass	ItemIndicator	ItemLv	ItemName	ItemType	KDRank	LODDist	LghtATK	LgtIP	LogoutSave	MHP	MKP	MSP	MSPD	MaterialSet	MaxR	MaxSocketCount	MaxStack	MinR	Option1ID	Option1MaxValue	Option1MinValue	Option2ID	Option2MaxValue	Option2MinValue	Option3ID	Option3MaxValue	Option3MinValue	OptionGroup	PR	Pair	ParticleCount	ParticleName	Price	PromotionLv	PsyATK	PsyIP	RFIRE	RHP	RICE	RLGHT	RPSY	RSP	RSTAT	Rank	RedFIRE	RedICE	RedLGHT	RedMAG	RedMEL	RedPSY	RedSHT	RendBlind	RendBurning	RendFear	RendFreeze	RendPoison	RendShock	RendStun	ReqToolTip	SaleEA	SaleID	Scale	ScpType	SellPrice	ShldDR	SocketRef	Spec	Suffix	TargetHitEffect	Tradable	UndeadBane	UniqueBone	Unstack	UseGender	UseGravity	UseInverse	UseLv	Venderable	WLv	WeaponTail	Weight	arg1	arg2
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	21007	BarrackSlot	Etc	NO	0	FALSE	1	0	None	0	<$>34930</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Barrack slot increase permission	None	None	150000	0	FALSE	it_e_testerslicense	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>30515</>	None	0	500	0	0	No	0	0	0	1	None	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	200000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21007	1	None	50000	0	None	<$>90251</>	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	21365	MysticCrystal02	Etc	NO	0	FALSE	1	0	None	0	<$>35467</>	0	0	0	0	None	Etc	None	drop_dye.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	A piece of amethyst	None	None	2000	0	FALSE	it_e_mysticcrystal02	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>34922</>	SYS_item_column_blue	0	<$>35466</>	None	0	500	0	0	No	0	0	0	1	None	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	500	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21365	1	None	125	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	21460	PromotionStance	Etc	NO	0	FALSE	1	0	None	0	<$>35565</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	100	Promotion recipe - Stance	None	None	150000	0	FALSE	it_e_charactercard	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>35564</>	None	0	1000	0	0	Yes	0	0	0	1	None	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	5000	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21460	2	None	1	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	100	TRUE	1	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	21539	Snowman_piece	Etc	NO	0	FALSE	1	0	None	0	<$>35628</>	0	0	0	0	None	Etc	None	drop_jewel.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Snowman Piece	None	None	2147483647	0	FALSE	it_e_invisiblemirror	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>35627</>	None	0	500	0	0	No	0	0	0	1	None	0	0	32767	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	21539	1	None	1	0	None	None	_NO	None	TRUE	0	None	FALSE	Both	TRUE	TRUE	1	TRUE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	OtiteBuff	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	88024	OtitePerfume	Etc	NO	0	FALSE	1	0	None	0	<$>36986</>	0	0	0	0	None	Etc	None	drop_etcitem.ogg	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	Otite perfume	None	None	10000	0	FALSE	it_e_otiteperfume	0	0	0	Period	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>30289</>	None	0	500	0	0	No	0	0	0	1	None	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	88024	1	None	1	0	None	<$>34028</>	_NO	None	TRUE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	88128	FighterSchool	Etc	NO	0	FALSE	1	0	None	0	<$>34116</>	0	0	0	0	None	Etc	None	drop_etcitem.wav	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	School look for Fighter	None	None	2147483647	0	FALSE	it_c_schoollook	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>28866</>	None	0	500	0	0	No	0	0	0	1	None	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	88128	1	None	1	0	None	<$>34110</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	88129	ScoutSchool	Etc	NO	0	FALSE	1	0	None	0	<$>34149</>	0	0	0	0	None	Etc	None	drop_etcitem.wav	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	School look for Scout	None	None	2147483647	0	FALSE	it_c_schoollook	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>28873</>	None	0	500	0	0	No	0	0	0	1	None	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	88129	1	None	1	0	None	<$>34150</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	88131	WizardSchool	Etc	NO	0	FALSE	1	0	None	0	<$>34151</>	0	0	0	0	None	Etc	None	drop_etcitem.wav	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	School look for Wizard	None	None	2147483647	0	FALSE	it_c_schoollook	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>28874</>	None	0	500	0	0	No	0	0	0	1	None	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	88131	1	None	1	0	None	<$>34130</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	88133	MusketeerSchool	Etc	NO	0	FALSE	1	0	None	0	<$>34148</>	0	0	0	0	None	Etc	None	drop_etcitem.wav	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	School look for Musketeer	None	None	2147483647	0	FALSE	it_c_schoollook	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>28872</>	None	0	500	0	0	No	0	0	0	1	None	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	88133	1	None	1	0	None	<$>34086</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
0	0	0	0	None	0	None	0	None	0	None	0	None	0	None	0	0	0	0	None	None	0	None	None	0	None	0	Etc	<$>29982</>	Etc_Etc	<$>27429</>	88135	WarlockSchool	Etc	NO	0	FALSE	1	0	None	0	<$>34152</>	0	0	0	0	None	Etc	None	drop_etcitem.wav	N/A	N/A	N/A	N/A	N/A	N/A	FALSE	0	None	1	School look for Warlock	None	None	2147483647	0	FALSE	it_c_schoollook	0	0	0	Etc	0	0	0	0	0	0	None	0	0	0	0	0	0	<$>27429</>	SYS_item_column_blue	0	<$>28875</>	None	0	500	0	0	No	0	0	0	1	None	0	0	1	0	0	0	0	0	0	0	0	0	0	None	0	NO	1	None	2147483647	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	None	1	88135	1	None	1	0	None	<$>34136</>	_NO	None	FALSE	0	None	TRUE	Both	TRUE	TRUE	1	FALSE	0	None	0	0	0
