ActionCamDist	ActionCamFreq	AtkLayer	Buff	BuffAlarmOnBoth	BuffAlarmOnEnemy	BuffAlarmOnMCC	BuffAlarmOnMe	BuffFreq	BuffID	BuffType	CastDist	CastEffect	CastSkill	CastTime	ChaseTime	CheckBuff	ClassID	ClassName	ClassType	CoolDown	DamageType	Desc	DmgTarget	DownTime	Drain	EngName	FileName	FlyingTime	HandType	HateAmnt	HitDist	HitTime	Hits	HoldTarget	HoldTime	IgnoreCastHIT	IgnoreDEF	InitCastTime	KBDist	KBTime	KDRank	KDownHAngle	KDownPower	KDownType	KDownVAngle	MaxPlacement	MaxR	MinR	MoveDist	Name	OnAll	OnCorpse	OnEnemy	OnEqpShld	OnOthers	OnParty	OnSquad	OnSummon	OnTeam	OnTrigger	Placement	PvPFix	RefreshTime	RemBuff1	RemBuff2	RemBuff3	RemBuff4	RemBuff5	Script	SkillEndScript	SklATK	SklEXP	SklLv	SklLv_BM	SklMedium	SklMetal	SklRank	SklSoft	SpecDesc0	SpecDesc1	SpecDesc10	SpecDesc11	SpecDesc12	SpecDesc13	SpecDesc14	SpecDesc15	SpecDesc2	SpecDesc3	SpecDesc4	SpecDesc5	SpecDesc6	SpecDesc7	SpecDesc8	SpecDesc9	SpecialType	SpendCatal	SpendHP	SpendItemCount	SpendItemID	SpendSP	SplDam	SplLimit	SplType	SplashAngle	SplashRange	Target	TargetDesc	Uni	UseCheck	UseType	ValueType	ViewAllyCast	WaveLength	XPType	kdDist
1200	0	2	Freeze	None	None	None	None	20	15	Normal	0	Cast_200	TRUE	967	0	None	20711	FrozenBall	MAGIC	8000	ICE	<$>61912</>	HP	0	None	Frozen Ball	fot_frozenball	0	DH	89	0	0	1	SELF	1100	YES	0	967	0	0	0	0	87	normal	45	0	1100	150	0	<$>61911</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	None	1.5	207	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	4	0	1	0	100	100	1	100	<$>61914</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	<$>61653</>	none	0	0	10	21114	300	1	2	Circle	0	175	Enemy	<$>61913</>	FALSE	FALSE	SPLASH_MISSILE	Attack	0	0	20001	300
1200	0	2	Burning	None	None	None	None	20	14	Normal	0	Cast_600	TRUE	2033	0	None	20712	FireStorm	MAGIC	22000	FIRE	<$>61916</>	HP	1300	None	Fire Storm	fot_firestorm	1000	DH	94	0	370	1	BOTH	1870	YES	0	2033	0	1900	30	0	112	normal	45	0	900	100	0	<$>61915</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	None	1.5	390	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	4.12	0	1	0	100	100	2	100	<$>61918</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	<$>60695</>	none	0	0	10	21114	450	1	5	Circle	0	600	Ground	<$>61917</>	FALSE	FALSE	AREA	Attack	0	0	20002	500
1200	0	2	Shock	None	None	None	None	20	16	Normal	0	Cast_500	TRUE	1033	0	None	20713	LightingSpear	MAGIC	15000	LGHT	<$>61920</>	HP	0	None	Lighting Spear	fot_lightingspear	0	DH	74	0	0	1	SELF	1370	YES	0	1033	0	0	0	0	90	normal	25	0	900	100	0	<$>61919</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	None	1.5	240	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	3.25	0	1	0	100	100	3	100	<$>61922</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	<$>59284</>	none	0	0	10	21114	400	1	4	Circle	0	500	Ground	<$>61921</>	FALSE	FALSE	AREA	Attack	0	0	20003	250
1200	0	2	Confusion	None	None	None	None	40	18	Normal	0	Cast_800	TRUE	1467	0	None	20714	Cyclone	MAGIC	30000	PSY	<$>61924</>	HP	1300	None	Cyclone	fot_cyclone	1000	DH	61	0	300	1	BOTH	1770	YES	0	1467	0	2270	30	0	112	leftspin	45	0	1000	100	0	<$>61923</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	None	1.5	324	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	2.47	0	1	0	100	100	4	100	<$>61926</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	<$>61927</>	none	0	0	10	21115	500	1	6	Circle	0	800	Ground	<$>61925</>	FALSE	FALSE	AREA	Attack	0	0	20004	500
1200	0	2	None	None	None	None	None	0	0	Normal	0	None	TRUE	1700	0	None	20715	AquaPierce	MAGIC	12000	PSY	<$>61929</>	HP	0	None	Aqua Pierce	fot_aquapierce	0	DH	179	0	0	10	SELF	1770	YES	0	1700	0	0	0	0	107	normal	40	0	900	150	0	<$>61928</>	NO	NO	YES	FALSE	NO	NO	NO	NO	NO	NO	None	1.5	347	none	none	none	none	none	SCR_SKILL_ATTACK	SCR_SKILL_REMOVEBUFF	8.44	0	1	0	100	100	5	100	<$>61930</>	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	15	21115	550	0	0	None	0	0	Enemy	<$>60216</>	FALSE	FALSE	MISSILE	Attack	0	0	20005	450
500	0	2	None	None	None	None	None	0	0	Normal	0	None	TRUE	1033	0	None	50007	Mon_Tiger_D_Heal	HEAL	0	None	<$>13438</>	HP	0	None	Healing	skl_healing	0	RH	0	0	200	0	SELF	1167	NO	0	0	0	967	0	0	0	normal	0	0	500	0	0	<$>58002</>	NO	NO	no	FALSE	YES	NO	YES	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_HEALING	None	1	0	3	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Heal	0	0	20001	0
500	0	2	None	None	None	None	None	0	0	Normal	0	None	TRUE	1033	0	None	60006	Mon_Tiger_A_Heal	HEAL	0	None	None	HP	0	None	Healing	skl_healing	0	RH	0	0	200	0	SELF	1167	NO	0	0	0	967	0	0	0	normal	0	0	500	0	0	<$>58002</>	NO	NO	no	FALSE	YES	NO	YES	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_HEALING	None	1	0	2	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Heal	0	0	20001	0
500	0	2	None	None	None	None	None	0	0	Normal	0	None	TRUE	1033	0	None	60007	Mon_Tiger_B_Heal	HEAL	0	None	None	HP	0	None	Healing	skl_healing	0	RH	0	0	200	0	SELF	1167	NO	0	0	0	967	0	0	0	normal	0	0	500	0	0	<$>58002</>	NO	NO	no	FALSE	YES	NO	YES	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_HEALING	None	1	0	3	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Heal	0	0	20001	0
500	0	2	Tiger_b	None	None	None	None	100	0	FORCE	0	None	TRUE	1033	0	None	60008	Mon_Tiger_A	BUFF	0	None	None	HP	0	None	Sharp claws	skl_buff	0	RH	0	0	200	0	SELF	1167	NO	0	1367	0	967	0	0	0	normal	45	0	1000	0	0	<$>27518</>	NO	NO	no	FALSE	NO	NO	YES	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_BUFF	None	1	0	21	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Buff	0	0	20001	400
500	0	2	Tiger_w	None	None	None	None	100	0	FORCE	0	None	TRUE	1033	0	None	60009	Mon_Tiger_D	BUFF	0	None	None	HP	0	None	Protection of white	skl_buff	0	RH	0	0	200	0	SELF	1167	NO	0	1367	0	967	0	0	0	normal	45	0	1000	0	0	<$>79013</>	NO	NO	no	FALSE	NO	NO	YES	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_BUFF	None	1	0	21	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Buff	0	0	20001	400
500	0	2	None	None	None	None	None	0	0	Normal	0	None	TRUE	900	0	None	60004	Mon_Elephant_heal	HEAL	0	None	<$>13438</>	HP	0	None	Healing	skl_heal	0	RH	0	0	767	0	SELF	1033	NO	0	900	0	266	0	0	0	normal	0	0	1000	0	0	<$>58002</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_HEALING	None	1	0	3	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Heal	0	0	20001	0
500	0	2	Elephant	None	None	None	None	0	0	FORCE	0	None	TRUE	900	0	None	60005	Mon_Elephant_buff	BUFF	0	None	<$>13438</>	HP	0	None	Mon_Elephant_buff	skl_buff	0	RH	0	0	767	0	SELF	1033	NO	0	900	0	266	0	0	0	normal	0	0	1000	0	0	<$>79012</>	NO	NO	NO	FALSE	NO	NO	NO	NO	YES	NO	None	1	0	none	none	none	none	none	SCR_SKILL_MON_BUFF	None	10	0	1	0	100	100	1	100	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	none	0	0	0	0	0	0	0	None	0	0	Party	None	TRUE	FALSE	MELEE	Buff	0	0	20001	0
